_id,state,hqName,hqAddress,emails,phone,website
"""6a214a71df9acc20ca51dee4""","Maharashtra","Director General of Police, Maharashtra","Maharashtra State Police Headquarters, Old Council Hall, Shaheed Bhagat Singh Marg, Mumbai-1, Maharashtra","[""dgpms.mumbai@mahapolice.gov.in"",""Compell.dgoffice@mahapolice.gov.in""]","022-22026672","www.mahapolice.gov.in"
"""6a214a71df9acc20ca51def2""","West Bengal","Director General of Police, West Bengal","Writer's Building, Kolkata, West Bengal-700001","[""dgpwestbengal@gmail.com"",""policewb@yahoo.com""]","033-22145400","www.policewb.gov.in"
"""6a214a71df9acc20ca51deda""","Chhattisgarh","Director General of Police, Chhattisgarh","Police Headquarters, Chhattisgarh-492001","[""dgp-chattisgarh@yahoo.co.in"",""anil.navaney@gmail.com""]","0771-4240001","www.cgpolice.gov.in"
"""6a214a71df9acc20ca51dedb""","Goa","Director General of Police, Goa","Police Headquarters, Panjim-403001, Goa","[""goagp@rediffmail.com"",""goapol@bsnl.in""]","0832-2428360","www.goapolice.nic.in"
"""6a214a71df9acc20ca51ded9""","Bihar","Director General of Police, Bihar","Police Headquarters, Old Secretariat, Patna, Bihar-800015","[""dgp-bih@nic.in"",""dgp_biha@nic.in""]","0612-2217833","www.biharpolice.bih.nic.in"
"""6a214a71df9acc20ca51dee0""","Jharkhand","Director General of Police, Jharkhand","Police Headquarters, DPRD Building, HEC Dhurwa, Ranchi, Jharkhand-834004","[""dgpjharkhand@gmail.com""]","0651-2400737","www.jharkhandpolice.govt.in"
"""6a214a71df9acc20ca51def0""","Uttar Pradesh","Director General of Police, Uttar Pradesh","Police Headquarters, 1, Tilak Marg, Lucknow-226001, Uttar Pradesh","[""dgp@up.nic.in"",""dgpolice@sify.com""]","0522-2206104","www.uppolice.up.nic.in"
"""6a214a71df9acc20ca51dee2""","Kerala","Director General of Police, Kerala","Police Headquarters, Trivandrum – 695010, Kerala","[""dgp@keralapolice.gov.in""]","0471-2721601","www.keralapolice.gov.in"
"""6a214a71df9acc20ca51def4""","Chandigarh","Inspector General of Police, Chandigarh","Police Headquarters, Sector-9 D, Multi Storeyed Building, Chandigarh","[""police-chd@nic.in"",""chd_police@nic.in""]","0172-2740106","www.chandigarhpolice.nic.in"
"""6a214a71df9acc20ca51dedd""","Haryana","Director General of Police, Haryana","Police Headquarters, Sector – 6, Panchkulla, Haryana-134109","[""police@hry.nic.in""]","0172-2740239","www.haryanapolice.nic.in"
"""6a214a71df9acc20ca51deea""","Punjab","Director General of Police, Punjab","Police Headquarters, Sec-9, Chandigarh-160009","[""dgp.punjab.police@punjab.gov.in""]","0172-2743272","www.punjabpolice.gov.in"
